a52dec 0.7.4-9
haskell-stm 2.4.4.1-1
haskell-stm-chans 3.0.0.4-3
haskell-streaming-commons 0.1.15.5-1
haskell-syb 0.6-3
haskell-tagged 0.8.4-1
haskell-tar 0.5.0.3-1
haskell-temporary 1.2.0.4-1
haskell-text 1.2.2.1-1
haskell-text-binary 0.2.1-3
haskell-time-locale-compat 0.1.1.1-2
haskell-tls 1.3.8-1
haskell-transformers-base 0.4.4-4
haskell-transformers-compat 0.5.1.4-1
haskell-unexceptionalio 0.3.0-1
haskell-unix-compat 0.4.1.4-3
haskell-unix-time 0.3.6-1
haskell-unordered-containers 0.2.7.0-2
haskell-utf8-string 1.0.1.1-1
haskell-uuid 1.3.12-3
haskell-uuid-types 1.0.3-1
haskell-vector 0.11.0.0-5
haskell-vector-algorithms 0.7.0.1-3
haskell-vector-binary-instances 0.2.3.2-1
haskell-vector-instances 3.3.1-16
haskell-void 0.7.1-7
haskell-word8 0.1.2-1
haskell-x11 1.6.1.2-7
haskell-x11-xft 0.3.1-17
haskell-x509 1.6.3-12
haskell-x509-store 1.6.1-12
haskell-x509-system 1.6.3-9
haskell-x509-validation 1.6.3-12
haskell-yaml 0.8.17.1-4
haskell-zip-archive 0.3.0.2-1
haskell-zlib 0.6.1.1-3
hddtemp 0.3.beta15.52-2
hdf5 1.10.0-1
hicolor-icon-theme 0.15-1
highlight 3.29-1
hspell 1.3-1
htop 2.0.1-1
http-parser 2.7.0-1
hunspell 1.4.1-1
hwids 20160306-1
hwloc 1.11.3-2
hyphen 2.8.8-1
iana-etc 20160513-1
icoutils 0.31.0-1
icu 57.1-1
idnkit 1.0-3
ilmbase 2.2.0-2
imagemagick 6.9.4.6-2
imlib2 1.4.9-1
inetutils 1.9.4-2
inkscape 0.91-18
inputproto 2.3.2-1
intel-tbb 4.4_20160526-2
intltool 0.51.0-1
iproute2 4.5.0-2
iptables 1.6.0-1
iputils 20160308.0db72a4-1
ipython 4.2.0-2
ipython-notebook 3.2.1-1
ipython2 4.2.0-2
irssi 0.8.19-2
jack 0.124.1-6
jansson 2.7-1
jasper 1.900.1-15
java-environment-common 2-2
java-jline 1.0-3
java-rhino 1.7.7.1-1
java-runtime-common 2-2
jbig2dec 0.12-1
jdk8-openjdk 8.u92-1
jemalloc 4.2.1-1
jfsutils 1.1.15-4
jre8-openjdk 8.u92-1
jre8-openjdk-headless 8.u92-1
js 24.2.0-3
js17 17.0.0-3
jshon 20131105-1
json-c 0.12.1-1
json-glib 1.2.0-1
jsoncpp 1.7.2-1
jupyter 4.1.0-4
jupyter-notebook 4.2.0-1
kbd 2.0.3-1
kbproto 1.0.7-1
keepass 2.34-1
keyutils 1.5.9-1
kmod 22-1
krb5 1.13.4-1
lame 3.99.5-3
lcms 1.19-5
lcms2 2.7-1
ldb 1.1.26-1
